,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
ATVI,3.0,-17.56,0.0,-6.23,0.0,-6.232287955206829,7.5
ADBE,1.0,5.0,5.0,0.0,1.0,5.000000000000004,15.0
AMD,1.0,41.87,41.87,0.0,1.0,41.86761994379757,194.0
ALXN,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,21.0
ALGN,3.0,-12.66,0.0,-4.36,0.0,-4.36340350190787,21.0
GOOGL,2.0,2.39,1.19,0.0,1.0,1.1909282026665635,12.0
GOOG,2.0,3.31,1.65,0.0,1.0,1.646860551500029,12.0
AMZN,1.0,11.75,11.75,0.0,1.0,11.751492965959365,12.0
AEP,0.0,0.0,0.0,0.0,0.0,0.0,12.0
AMGN,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,40.0
ADI,1.0,-2.4,0.0,-2.4,0.0,-2.397015431468952,25.0
ANSYS,,,,,,,
ANSS,2.0,-6.0,0.0,-3.0,0.0,-3.0000000000000027,17.0
AAPL,2.0,1.31,7.78,-6.0,0.5,0.8882328695239528,4.0
AMAT,2.0,5.0,5.0,0.0,0.5,2.500000000000002,33.0
ASML,0.0,0.0,0.0,0.0,0.0,0.0,33.0
TEAM,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000016,5.0
ADSK,2.0,-1.3,5.0,-6.0,0.5,-0.5000000000000004,32.0
ADP,1.0,5.0,5.0,0.0,1.0,5.000000000000004,78.0
BIDU,3.0,45.64,59.57,-4.36,0.3333333333333333,16.947395210529614,47.0
BIIB,0.0,0.0,0.0,0.0,0.0,0.0,47.0
BKNG,2.0,-12.05,0.0,-6.22,0.0,-6.215427914164917,13.0
AVGO,1.0,44.65,44.65,0.0,1.0,44.64765406460172,181.0
CDNS,2.0,-11.64,0.0,-6.0,0.0,-6.000000000000005,3.5
CDW,1.0,0.0,0.0,0.0,0.0,0.0,15.0
CDW,1.0,0.0,0.0,0.0,0.0,0.0,15.0
CERN,1.0,3.77,3.77,0.0,1.0,3.769293843713739,47.0
CHTR,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,8.0
CHKP,1.0,5.0,5.0,0.0,1.0,5.000000000000004,59.0
CTAS,2.0,-2.14,5.0,-6.8,0.5,-0.902310265264239,49.0
CSCO,0.0,0.0,0.0,0.0,0.0,0.0,49.0
CTSH,1.0,29.94,29.94,0.0,1.0,29.93743115666856,200.0
CMCSA,2.0,-6.0,0.0,-3.0,0.0,-3.0000000000000027,52.5
CPRT,2.0,-6.0,0.0,-3.0,0.0,-3.0000000000000027,19.0
COST,1.0,0.0,0.0,0.0,0.0,0.0,35.0
CSX,1.0,5.0,5.0,0.0,1.0,5.000000000000004,62.0
DXCM,0.0,0.0,0.0,0.0,0.0,0.0,62.0
DOCU,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,13.0
DLTR,0.0,0.0,0.0,0.0,0.0,0.0,13.0
EBAY,0.0,0.0,0.0,0.0,0.0,0.0,13.0
EA,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000016,7.0
EXC,0.0,0.0,0.0,0.0,0.0,0.0,7.0
FB,1.0,5.0,5.0,0.0,1.0,5.000000000000004,45.0
FAST,1.0,4.37,4.37,0.0,1.0,4.370814922991917,45.0
FISV,1.0,0.0,0.0,0.0,0.0,0.0,66.0
FOXA,1.0,-6.37,0.0,-6.37,0.0,-6.373005670563869,66.0
FOX,1.0,-6.74,0.0,-6.74,0.0,-6.738712630576993,66.0
GILD,0.0,0.0,0.0,0.0,0.0,0.0,66.0
IDXX,2.0,-1.3,5.0,-6.0,0.5,-0.5000000000000004,23.0
ILMN,2.0,-2.23,13.63,-13.95,0.5,-0.1635686376246337,13.0
INCY,0.0,0.0,0.0,0.0,0.0,0.0,13.0
INTC,0.0,0.0,0.0,0.0,0.0,0.0,13.0
INTU,2.0,3.3,5.0,-1.61,0.5,1.692634367379875,59.0
ISRG,2.0,3.4,10.0,-6.0,0.5,2.0000000000000018,48.0
JD,2.0,-13.93,0.0,-7.23,0.0,-7.227487718436687,48.0
KDP,0.0,0.0,0.0,0.0,0.0,0.0,48.0
KLAC,3.0,-7.22,5.0,-6.0,0.3333333333333333,-2.3333333333333366,18.333333333333332
KHC,1.0,0.0,0.0,0.0,0.0,0.0,9.0
LRCX,1.0,0.0,0.0,0.0,0.0,0.0,15.0
LULU,0.0,0.0,0.0,0.0,0.0,0.0,15.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,15.0
MRVL,3.0,-8.26,5.0,-6.53,0.3333333333333333,-2.6853954942674187,15.0
MTCH,0.0,0.0,0.0,0.0,0.0,0.0,15.0
MXIM,3.0,-7.57,5.0,-6.18,0.3333333333333333,-2.4520545158212013,17.0
MELI,2.0,5.0,5.0,0.0,0.5,2.500000000000002,14.5
MCHP,1.0,20.52,20.52,0.0,1.0,20.520083327925164,88.0
MU,1.0,2.86,2.86,0.0,1.0,2.859805157158113,88.0
MSFT,3.0,-1.4,2.65,-6.38,0.6666666666666666,-0.3595516835649186,33.0
MRNA,0.0,0.0,0.0,0.0,0.0,0.0,33.0
MDLZ,0.0,0.0,0.0,0.0,0.0,0.0,33.0
MNST,1.0,5.0,5.0,0.0,1.0,5.000000000000004,68.0
NTES,3.0,-1.71,5.0,-3.19,0.3333333333333333,-0.4628888528785555,19.0
NFLX,1.0,4.51,4.51,0.0,1.0,4.508162917335401,19.0
NVDA,1.0,34.61,34.61,0.0,1.0,34.61261089732146,210.0
NXPI,4.0,-17.15,5.0,-7.59,0.25,-4.445165603780615,23.0
ORLY,0.0,0.0,0.0,0.0,0.0,0.0,23.0
OKTA,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,1.0
PCAR,2.0,-6.0,0.0,-3.0,0.0,-3.0000000000000027,29.5
PAYX,1.0,11.24,11.24,0.0,1.0,11.242679245505371,119.0
PYPL,1.0,9.91,9.91,0.0,1.0,9.90776173408121,119.0
PTON,0.0,0.0,0.0,0.0,0.0,0.0,119.0
PEP,1.0,-6.0,0.0,-6.0,0.0,-6.000000000000005,15.0
PDD,0.0,0.0,0.0,0.0,0.0,0.0,15.0
QUALCOMM,,,,,,,
QCOM,2.0,5.0,5.0,0.0,0.5,2.500000000000002,38.0
REGN,2.0,-6.0,0.0,-3.0,0.0,-3.000000000000008,15.0
ROST,1.0,0.0,0.0,0.0,0.0,0.0,21.0
SGEN,1.0,0.0,0.0,0.0,0.0,0.0,24.0
SIRI,0.0,0.0,0.0,0.0,0.0,0.0,24.0
SWKS,3.0,3.19,9.77,-3.0,0.3333333333333333,1.2575072941669776,15.333333333333334
SPLK,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334
SBUX,1.0,5.0,5.0,0.0,1.0,5.000000000000004,79.0
SNPS,3.0,-1.3,5.0,-3.0,0.3333333333333333,-0.33333333333333415,20.333333333333332
TMUS,1.0,0.0,0.0,0.0,0.0,0.0,70.0
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,70.0
TXN,2.0,-6.0,0.0,-3.0,0.0,-3.000000000000008,40.5
TCOM,2.0,-11.64,0.0,-6.0,0.0,-6.000000000000005,15.0
VRSN,0.0,0.0,0.0,0.0,0.0,0.0,15.0
VRSK,0.0,0.0,0.0,0.0,0.0,0.0,15.0
VRTX,0.0,0.0,0.0,0.0,0.0,0.0,15.0
WBA,0.0,0.0,0.0,0.0,0.0,0.0,15.0
WDAY,0.0,0.0,0.0,0.0,0.0,0.0,15.0
XEL,1.0,0.0,0.0,0.0,0.0,0.0,35.0
XLNX,2.0,-6.23,0.0,-3.11,0.0,-3.114876024009833,45.0
ZM,0.0,0.0,0.0,0.0,0.0,0.0,45.0
